momentum_period,rebalance_days,top_pct,num_stocks,num_periods_tested,avg_return,std_return,min_return,max_return,avg_7wk_return,avg_sharpe,std_sharpe,min_sharpe,max_sharpe,avg_drawdown,max_drawdown,consistency_score
15,2,0.3,15,21,55.02884792958509,30.94674776633557,22.02447845187492,123.96576734336504,9.475610034942624,3.3350805752069395,0.8278839472242253,1.845943660198003,4.699862135029052,2.9349085719011803,8.235369033813477,2.5071966279827143
15,4,0.3,15,21,52.12555514982067,27.150151112727112,21.942551516677256,119.16581015094177,9.099443009512765,3.28445344928566,0.8215616124275765,2.04285983325207,4.641272437219311,3.0184613901279924,8.370892326354982,2.462891836858083
13,4,0.3,15,21,53.52879667323766,31.138809898566173,22.136859377734176,116.38560541009456,9.230578924633207,3.2268021223135626,0.7647337195986821,1.9582513160899442,4.721328540998997,2.9200235602829343,7.899029663085938,2.4620684027148805
14,4,0.3,15,21,54.07136336887422,31.952486835057716,20.82087321253736,124.4231305229257,9.298331792013986,3.2671587111597584,0.8226196517961685,1.8564612374452996,4.804311514290906,2.940560521547651,7.988898124694824,2.44453905936359
14,4,0.2,10,21,57.27277323036835,31.27591277971126,20.771571244427854,114.83277509616747,9.813985388982863,3.0707060705722675,0.7076423541362662,1.7505865165951024,4.285074157826103,3.2654479741441507,8.62371778869629,2.3630637164360015
15,2,0.2,10,21,59.41097254213249,32.106219120239835,19.261756028288502,136.36820245329534,10.112129034133185,3.1695459223569755,0.8447157206395202,1.8164369009325363,4.578932937660077,3.101155703302356,8.272113220214845,2.3248302017174556
15,4,0.2,10,21,56.05448687081238,28.41328429322317,21.4469023266918,121.44754496871658,9.678093371436711,3.119288065991575,0.8094352823757611,1.7281474139855044,4.273817311317577,3.3118194489557786,8.710608108520509,2.309852783615814
15,3,0.2,10,21,56.30532139231392,31.136873394321665,28.611249074959268,121.82536051077113,9.660968410491941,3.056644403575624,0.7728706301525374,1.429842518895949,4.274568356917653,3.3970218344522314,12.066495895385742,2.2837737734230865
15,3,0.3,15,21,51.88019899700604,29.918389369117985,20.204770277005622,115.09714230623783,8.993650061289468,3.200937405432054,0.9454646774326348,1.231346618276729,4.649119526758788,3.2091579815194042,11.97523585510254,2.255472727999419
13,3,0.3,15,21,54.35058351963986,34.62407435465598,15.806080238653841,127.03399413134524,9.277255169823055,3.2161707846148047,0.9751454396782246,1.3600249511819307,4.6435270905098305,3.0181622330278266,10.05031471633911,2.2410253449365802
13,5,0.3,15,21,48.19700759823482,25.387863027101183,14.82197507427976,105.93309732529188,8.499516210101902,3.008425236548886,0.8468144389874921,1.3601264437907745,4.456211106691978,2.9959278310034625,10.340815074920656,2.1616107975613943
12,4,0.3,15,21,58.23902565189034,40.68943448712444,22.126803072927604,162.56434916833143,9.743227236974807,3.2012970537586964,1.0536064814462889,1.6051937066835091,5.842139483568055,3.3813703597861693,13.975425113436193,2.1476905723124076
14,3,0.3,15,21,52.67992381081283,34.316762464000284,18.710196306750614,126.72570183406337,9.024781448364259,3.1243506151155485,0.9800148543189781,1.5564282574398451,4.909556617086641,3.124117883287618,10.588390911102294,2.1443357607965705
14,2,0.3,15,21,58.21914782213817,41.49792876087049,7.5919314238197755,168.49180954004487,9.724996190752302,3.2446865698460696,1.1180728822497945,0.9319265335258596,5.207428833650561,3.2782738100356776,12.510470089116371,2.126613687596275
14,5,0.3,15,21,44.899352306893356,19.785425744545616,15.284039355670576,86.83986215287732,8.070111271449498,2.9657105781616186,0.8436990693800889,1.1016281977989941,4.303343253847085,3.0218564541955617,10.676826435089112,2.12201150878153
13,4,0.2,10,21,56.15901207023128,34.012801893729,10.941907978278497,123.42750328671923,9.577827934810093,2.918846283863379,0.8046179530333274,1.0264483136343283,4.442041845146356,3.446264073372509,8.62371778869629,2.1142283308300516
11,4,0.3,15,21,55.40203280566799,38.036717395221295,17.353691332687603,152.09298570469056,9.368908766428632,3.119894152284426,1.1081808713593917,1.561431932274101,5.55027940430033,3.3678542983655224,14.148596739058364,2.011713280925034
12,5,0.3,15,21,46.355811528185185,29.28435110274969,11.744962057120723,111.98656406697656,8.132858099801203,2.853362088470864,0.8972213977502285,1.1292834456209269,4.537584170047138,3.050040013036135,9.85704393005371,1.9561406907206358
11,3,0.3,15,21,56.96682574603729,39.73434494532195,6.040058016426331,141.70565200313794,9.567994419461204,3.143139867884138,1.2099083639588184,0.5773056799983428,5.707709225587032,3.1570723695063276,9.57320175213872,1.9332315039253196
