Rank,Ticker,Momentum_Score,Price_USD,Price_GBP,Shares_to_Buy,Allocation_GBP,Weight_Pct
1,MU,22.305500462184806,221.91000366210938,167.13818100814836,25.92,4332.221651731206,4.332221651731206
2,RTX,14.924652799843344,178.6699981689453,134.5706728037231,32.2,4333.175664279885,4.333175664279885
3,AXP,12.714548732654,361.0299987792969,271.9205817202595,15.93,4331.694866803734,4.331694866803734
4,AMD,11.729264418073598,258.010009765625,194.3279843291011,22.29,4331.570770695664,4.331570770695663
5,GOOG,5.84521439501811,268.42999267578125,202.1761072663226,21.43,4332.633978717293,4.332633978717293
6,TMO,4.527130664335812,557.6300048828125,419.9957782596895,10.31,4330.156473857399,4.330156473857398
7,IBM,4.481563913440465,312.57000732421875,235.42148438436442,18.4,4331.755312672305,4.331755312672305
8,AAPL,3.9808657535458245,269.0,202.60542539420794,21.38,4331.703994928165,4.331703994928166
9,WFC,3.2216975998797293,86.9000015258789,65.45134489185135,66.2,4332.879031840559,4.33287903184056
10,BAC,3.0132127110807274,52.869998931884766,39.82062685570941,108.82,4333.2806144382985,4.333280614438299
11,KO,2.6990099183753484,70.16000366210938,52.843112965133294,82.0,4333.13526314093,4.33313526314093
12,MS,2.202016222096533,165.2100067138672,124.43287616967662,34.82,4332.75274822814,4.33275274822814
13,CRM,1.8534350141823805,254.25999450683594,191.503547761288,22.62,4331.810250360335,4.331810250360335
14,CSCO,1.8280373522983162,72.62000274658203,54.69593512490632,79.22,4333.011980595079,4.333011980595079
15,TSLA,1.8094204806255336,460.54998779296875,346.8770490412331,12.49,4332.494342525001,4.332494342525002
