Rank,Ticker,Momentum_Score,Price_USD,Price_GBP,Shares_to_Buy,Allocation_GBP,Weight_Pct
1,AMD,668.2079583469183,240.55999755859375,179.4577556543332,24.14,4332.110221495604,4.332110221495603
2,CAT,6.212554655111614,531.1799926757812,396.26026896206,10.93,4331.124739755316,4.3311247397553165
3,PEP,5.536309659277091,153.63999938964844,114.6154379324172,37.8,4332.4635538453695,4.332463553845369
4,MU,3.6295535450709417,206.77000427246094,154.25042101746206,28.09,4332.8943263805095,4.33289432638051
5,WMT,2.188973316942969,107.05000305175781,79.8593011532548,54.26,4333.165680575606,4.333165680575606
6,JNJ,1.876332708525746,193.72000122070312,144.51511887779427,29.98,4332.563263956272,4.3325632639562714
7,WFC,1.2455744539732883,86.0199966430664,64.17091659305476,67.52,4332.8202883630565,4.332820288363057
8,KO,1.1798837042032668,68.44000244140625,51.05624110309643,84.87,4333.143182419794,4.333143182419795
9,AVGO,1.149628273784266,349.239990234375,260.5330290500048,16.63,4332.66427310158,4.33266427310158
10,NFLX,1.0884890969681094,1238.56005859375,923.9657907137914,4.68,4324.159900540543,4.324159900540543
11,COST,0.9405442646476961,936.1099853515625,698.3380392489566,6.2,4329.695843343531,4.329695843343531
12,MCD,0.8285205679219105,307.7699890136719,229.5964085745363,18.87,4332.4842298015,4.3324842298015005
13,CRM,0.5693828474335304,254.27999877929688,189.6928764210034,22.84,4332.585297455717,4.332585297455718
14,GOOG,0.4212954122105108,257.0199890136719,191.73690910709436,22.6,4333.254145820333,4.333254145820333
15,CSCO,0.4204948967816971,70.6500015258789,52.70490039692184,82.21,4332.869861630945,4.332869861630945
